month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_feet,median_listing_price_per_square_feet_mm,median_listing_price_per_square_feet_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy
201910,pennsylvania,pa,224950.0,-2.0E-4,0.1103,43193,-0.017,-0.1364,73.0,0.0139,-0.0395,13320,-0.0583,-0.0688,460,-0.1085,-0.3072,13400,-0.027,-0.1276,58762,0.0078,0.2432,108.87157854126056,0.1238,0.1493,1695.0,0.1014,0.124,321853.0,0.0092,0.0737
201910,maine,me,259950.0,-2.0E-4,0.0589,8738,-0.0516,-0.1744,95.0,0.1176,-0.1121,1668,-0.2162,-0.0855,32,-0.3846,-0.6,1752,-0.1813,-0.172,7804,0.077,0.0686,153.03380946967388,3.0E-4,0.0631,1700.0,0.0,-0.0053,386997.0,0.0023,0.0791
201910,kentucky,ky,210025.0,-0.0163,0.0528,15342,-0.0093,-0.0787,66.5,0.0153,-0.0828,4680,-0.0795,-0.025,104,-0.1034,-0.35,4200,-0.0683,-0.0625,39126,-0.0059,-0.0788,104.13588741035167,0.007,0.0954,1897.0,-0.0073,0.0539,280312.0,-0.0017,0.0374
201910,oklahoma,ok,210049.5,5.0E-4,0.1058,14588,-0.0211,-0.1923,64.0,-0.0078,-0.1111,4496,-0.0294,-0.0149,168,0.1053,-0.475,3888,-0.0581,-0.1811,9156,-0.0189,-0.1195,104.01011151011151,0.003,0.0806,1957.5,8.0E-4,0.0415,283399.0,-0.0024,0.0863
201910,oregon,or,420775.0,-0.0101,0.0024,17107,-0.0715,-0.0797,63.5,0.0672,-0.0231,5496,-0.1627,-0.0791,340,0.0759,-0.0761,5932,-0.1199,-0.0812,11838,-0.0188,-0.427,216.73205266955267,-0.0023,0.0238,1980.0,-0.002,-0.0078,555478.0,1.0E-4,0.0033
201910,nebraska,ne,234750.0,-0.0011,0.0207,6272,0.0174,0.0754,48.5,-0.03,-0.049,2520,0.0016,0.1372,48,-0.4,-0.2,1540,-0.0179,0.0294,4722,-0.1302,0.1059,114.28352725045929,-0.004,-0.0037,1923.5,-0.0105,0.044,283182.0,-0.0063,0.0055
201910,utah,ut,407050.0,0.0372,0.0571,12610,-0.2059,-0.0469,57.0,0.0,0.0962,4836,-0.1239,-0.0584,380,-0.0404,0.0,4164,-0.063,-0.1296,59853,0.0998,0.133,158.40681731263044,0.019,0.0836,2601.0,0.0204,-0.0196,678062.0,0.076,0.0738
201910,louisiana,la,229050.0,-0.002,0.0315,19137,-0.0283,-0.0549,86.0,0.0058,0.0,4252,-0.0748,-0.061,132,-0.3265,-0.2979,5056,-0.0525,0.004,15221,-0.3623,0.0636,117.18644743141016,0.0016,0.0278,1931.0,-0.0072,0.0373,302490.0,0.0011,0.0298
201910,illinois,il,245558.0,-0.0168,0.0041,59680,-0.0197,0.0264,61.0,0.0427,0.0252,19396,-0.1436,0.0366,300,0.087,-0.3304,18076,-0.1082,0.0049,33270,-0.0447,0.0316,119.53124999999999,-0.0036,0.0293,1742.0,-0.0097,-0.0031,355208.0,-0.0123,-0.0095
201910,california,ca,580000.0,-0.0086,0.0738,86664,-0.0479,-0.0852,53.0,0.0192,0.1778,35508,-0.1695,-0.126,1572,-0.0775,-0.0296,26148,-0.1027,-0.1494,67568,-0.1923,0.0581,315.74999999999994,-0.002,0.0591,1853.5,-0.0046,0.0249,1168440.0,0.0086,0.1895
201910,west virginia,wv,169950.0,-0.0286,0.0059,8161,-0.0222,-0.0695,93.5,0.0163,-0.0459,1596,-0.1231,0.0364,40,-0.5238,-0.5238,1584,-0.0855,-0.0246,5085,-0.3076,-0.2572,85.48473757187716,-0.0038,0.017,1695.0,-0.0056,0.0083,230100.0,-0.0102,0.0034
201910,colorado,co,471562.0,0.0011,0.048,26573,-0.0429,0.0353,63.5,0.0763,0.0763,9548,-0.1571,0.0038,576,-0.1955,0.0,9532,-0.1207,0.0236,96109,-0.0902,1.7365,201.0478329809725,0.0037,0.0868,2354.5,0.0017,-0.0188,852477.0,0.0028,0.0286
201910,district of columbia,dc,680000.0,0.0225,0.0708,1706,0.0333,-0.0713,31.5,0.0862,0.0161,952,-0.2468,-0.1086,16,0.0,-0.3333,632,0.1704,-0.1222,641,0.0976,-0.7987,497.6515044042353,0.0143,-0.0363,1395.0,0.016,0.0801,965165.0,0.0118,0.0438
201910,vermont,vt,287050.0,0.007,0.0061,4965,-0.0595,-0.1302,118.0,0.0926,-0.0407,764,-0.1239,0.0977,20,0.0,-0.1667,740,-0.2418,0.0393,1308,-0.7055,0.0077,146.20307345387732,0.007,0.0231,2001.0,5.0E-4,-0.0047,407786.0,0.0099,0.0212
201910,kansas,ks,195775.0,0.0167,0.0892,9942,-0.0279,-0.1149,68.0,0.0303,-0.049,3112,-0.0804,-0.1268,140,-0.186,-0.2045,2768,-0.0455,-0.0859,5654,-0.2552,0.614,95.04734552136054,0.0087,0.1205,2026.0,0.005,0.0465,283666.0,0.0168,0.09
201910,north dakota,nd,229800.0,-9.0E-4,-0.007,3835,-0.041,-0.0362,76.5,0.0338,-0.0613,784,-0.1765,-0.0798,44,0.5714,0.8333,872,-0.1102,0.014,2025,0.0227,0.24,110.85727821838933,-0.0039,0.0074,2115.5,-0.0014,-0.0142,273946.0,-0.0053,-0.0133
201910,ohio,oh,185500.0,-0.0211,0.0676,32729,-0.0029,-0.1174,56.0,0.037,-0.0744,13444,-0.0454,-0.0053,336,0.2353,0.1831,12672,-0.0198,-0.0449,92571,-0.0534,0.0696,96.11708047945206,0.0016,0.0704,1731.5,-0.0072,0.0179,262191.0,-0.0074,0.0473
201910,new york,ny,474549.5,0.0161,0.1047,74772,-0.0132,-0.0201,81.5,-0.0061,0.0124,17352,-0.1916,-0.1345,508,-0.1589,-0.244,16252,-0.1164,-0.0632,70024,-0.0125,0.0867,157.03124999999997,0.0042,0.0848,1504.0,-7.0E-4,-0.0095,1030498.0,0.0244,0.0362
201910,new hampshire,nh,342000.0,0.0059,0.0544,5980,-0.0587,-0.1551,71.5,0.0438,-0.0714,1864,-0.1781,0.1017,76,0.1176,0.2667,1576,-0.1106,-0.0025,3296,-0.7173,-0.0548,169.1624862515328,0.0037,0.0598,1991.0,-0.0104,0.0045,443268.99999999994,-0.0108,0.0431
201910,texas,tx,292300.0,-0.004,0.0112,107957,-0.0367,-0.0124,64.0,0.0159,-0.0448,34700,-0.0316,0.0619,3624,0.0747,0.2343,37268,-0.0435,0.0481,85935,-0.3102,0.0211,131.21874999999997,0.0011,0.0395,2220.5,-0.0038,-0.0122,409751.0,0.001,0.0208
201910,mississippi,ms,199944.0,2.0E-4,0.0277,10532,-0.0219,-0.1046,92.5,0.0054,-0.0513,2352,-0.0531,0.0051,68,-0.3704,-0.2273,2132,-0.0414,-0.0873,20299,0.0295,0.187,96.31671766105728,0.0016,0.0524,1999.0,0.003,0.0294,262588.0,-9.0E-4,0.0416
201910,virginia,va,325558.0,-0.0133,0.0854,33434,-0.0394,-0.1932,67.0,0.0075,-0.0822,10608,-0.0955,-0.0912,544,-0.0933,-0.1392,8288,-0.0783,-0.2205,18501,-0.1751,-0.4769,147.59472656249997,1.0E-4,0.0489,2133.0,-0.0056,0.0541,456224.0,1.0E-4,0.0978
