City,Population Rank,January 2017
Tulare,549,1157
Baldwin Park,550,2113
Lynnwood,551,2119
Lake Forest,552,2970
Wilmington,553,1155
San Ramon,554,3641
New Rochelle,555,3225
Huntington,556,860
Camarillo,557,2613
Springfield,558,1214
Pharr,559,925
Petaluma,560,2648
La Mesa,561,2376
Huntington Park,562,2154
Simpsonville,563,1521
Hammond,564,1011
Palm Harbor,565,1512
Stafford,566,1901
Town of Colonie,567,1664
Canton,568,1492
Mount Pleasant,569,2388
Plainfield,570,1806
Cherry Hill,571,2064
Brandon,572,1388
Kingsport,573,864
Council Bluffs,574,1035
Asheville,575,1403
Pleasanton,576,3491
Smyrna,577,1485
Brick,578,1807
Gresham,579,1738
Greenville,580,987
Framingham,581,2338
Lauderhill,582,1379
Apple Valley,583,1252
Kirkland,584,2484
Waipahu,585,2343
Redondo Beach,586,3516
Yuba City,587,1393
Bismarck,588,1695
Greer,589,1393
Mooresville,590,1502
Casa Grande,591,987
Salisbury,592,978
Centreville,593,2105
San Marcos,594,2500
Pasco,595,1286
Rome,596,988
Warwick,597,1544
Bremerton,598,1454
Spring Valley,599,2246
Great Falls,600,1196
O Fallon,601,1535
Waterford,602,1305
Passaic,603,1722
Schaumburg,604,1656
Lodi,605,1521
Ellicott City,606,2707
West Lafayette,607,1338
Plymouth,608,1900
Waldorf,609,1871
Marysville,610,1757
Casper,611,1163
Hanford,612,1178
Lynwood,613,2150
Youngstown,614,569
Flower Mound,615,2380
Avondale,616,1201
Temple,617,1086
Kokomo,618,770
San Rafael,619,3985
Palo Alto,620,6000
Milpitas,621,3245
Portland,622,1854
Jonesboro,623,1083
Union City,624,2078
Union City,625,2981
Kenner,626,1348
Dubuque,627,1112
Palatine,628,1755
Tomball,629,1678
The Woodlands,630,2314
Lafayette,631,911
North Little Rock,632,840
Waterloo,633,825
Port Charlotte,634,1496
Vienna,635,3159
East Orange,636,1516
Weston,637,2470
Chino Hills,638,2940
Bellingham,639,1597
Salisbury,640,1202
Winchester,641,1369
Manhattan,642,1269
Alameda,643,3237
Eagan,644,1728
Daytona Beach,645,1125
Pico Rivera,646,2220
Racine,647,1013
Bel Air,648,1748
Denham Springs,649,1356
York Township,650,1385
Bossier City,651,1204
Auburn,652,1865
Gastonia,653,1001
Conway,654,1194
Corvallis,655,1730
West Bloomfield,656,2050
Brunswick,657,1048
Mount Vernon,658,2422
Venice,659,1991
Bethesda,660,3358
Bolingbrook,661,1716
Brandon,662,1447
Cocoa,663,1191
Appleton,664,1135
Meridian,665,966
Lorain,666,727
Midland,667,1088
Maple Grove,668,1688
Baytown,669,1347
West Hartford,670,2042
Aiken,671,936
Glen Allen,672,1712
Statesville,673,962
Taylor,674,928
Grants Pass,675,1197
Ames,676,1222
Columbus,677,1202
Goodyear,678,1412
North Port,679,1436
Coon Rapids,680,1457
Orland Park,681,1906
North Bergen,682,2199
Rosemead,683,2368
Des Plaines,684,1728
Snellville,685,1328
Elyria,686,836
Laguna Niguel,687,3312
San Marcos,688,1438
Arcadia,689,3332
Yorba Linda,690,3247
Florence,691,1158
Harrisonburg,692,1134
Woodbury,693,1875
Vineland,694,1309
Burnsville,695,1651
Georgetown,696,1688
La Habra,697,2498
Carmel,698,1977
Eden Prairie,699,1928
Shawnee,700,1654
Jefferson City,701,883
Valley Stream,702,2843
Hamden,703,1737
Hendersonville,704,1697
Bristol,705,1499
West Allis,706,977
Punta Gorda,707,1792
Tamarac,708,1485
Medina,709,1535
Meriden,710,1390
Fayetteville,711,1292
Reston,712,2188
Taylorsville,713,1406
Dundalk,714,1412
Lancaster,715,1002
Waltham,716,2493
Haverhill,717,1765
Bellevue,718,1306
Springdale,719,1169
Lakewood,720,1507
Saint Cloud,721,1147
San Gabriel,722,2592
Jupiter,723,2292
Kendale Lakes,724,1734
Encinitas,725,3485
Pontiac,726,881
Sanford,727,996
Fountainbleau,728,1585
Malden,729,2255
Gardena,730,2422
Blaine,731,1536
Royal Oak,732,1574
Novato,733,3488
Manchester,734,1503
Florence-Graham,735,2048
Huntsville,736,1258
Oak Lawn,737,1532
Newport Beach,738,5174
Ewa Beach,739,2397
Kissimmee,740,1246
Gaithersburg,741,2003
National City,742,2101
Pasadena,743,1888
Skokie,744,1835
Carson City,745,1347
Gilroy,746,3124
Fort Mill,747,1694
Dearborn Heights,748,1073
San Clemente,749,3462
Brentwood,750,2479
Deland,751,1232
Bozeman,752,1649
Mansfield,753,1830
Rapid City,754,1231
Texarkana,755,1117
Fayetteville,756,1493
Berwyn,757,1547
Rocklin,758,2117
Saint Peters,759,1408
Gretna,760,1368
North Richland Hills,761,1544
Woodland,762,1699
Annandale,763,2466
Tamiami,764,2205
Mechanicsville,765,1487
Richmond,766,1084
West Des Moines,767,1504
Land O Lakes,768,1545
South San Francisco,769,3515
Lake Elsinore,770,1750
Saint Cloud,771,1365
Lompoc,772,1695
Lancaster,773,1090
Massillon,774,917
Farmington,775,1153
Monterey Park,776,2471
Davis,777,2420
Springfield,778,635
Schenectady,779,1229
White Plains,780,3084
Rancho Cordova,781,1621
Chicopee,782,1415
Medford,783,2431
Eastvale,784,2596
Town of Hempstead,785,2741
Bensalem,786,1656
Missouri City,787,1658
Midwest City,788,852
Freehold Township,789,2184
Florence,790,808
Azusa,791,2162
Lilburn,792,1392
Danville,793,865
Muskegon Township,794,757
Carmichael,795,1712
Grand Forks,796,1223
Roswell,797,927
Delano,798,1201
Albany,799,1338
Colton,800,1487
Newark,801,839
Loveland,802,1702
Goose Creek,803,1287
Noblesville,804,1390
Irvington,805,1517
New Castle,806,1263
Deerfield Beach,807,1491
Altamonte Springs,808,1238
Montebello,809,2365
Westminster,810,1756
Cupertino,811,4351
Titusville,812,1150
Margate,813,1508
Wayne,814,2372
Town of Hamburg,815,1302
Wheaton,816,2081
Dothan,817,903
Valrico,818,1551
Snohomish,819,2249
Kettering,820,1137
Layton,821,1429
Weymouth,822,2266
Fairfield,823,2833
Santee,824,2311
Statesboro,825,1024
Broomfield,826,2083
Coconut Creek,827,1494
Lake Havasu City,828,1229
Lutz,829,1634
Mount Prospect,830,1952
Atascocita,831,1643
Port Orange,832,1382
Delray Beach,833,1727
West Haven,834,1639
Rockville,835,2279
Jackson,836,2116
Biloxi,837,1002
Union,838,2186
Wesley Chapel,839,1493
The Hammocks,840,1999
Stillwater,841,1184
Missoula,842,1299
Fountain Valley,843,3089
Port Orchard,844,1591
Wyoming,845,1195
Piscataway Township,846,2148
Millcreek Township,847,1248
Oak Park,848,2064
Lagrange,849,884
Mililani,850,2492
Morristown,851,906
Upper Darby Township,852,1184
Chillicothe,853,1001
Harlingen,854,876
Grand Island,855,1209
New Iberia,856,1008
Novi,857,2115
Blacksburg,858,1540
Klamath Falls,859,963
Town of Newburgh,860,1540
Florissant,861,1029
South Whittier,862,2305
Prescott,863,1596
Mishawaka,864,845
Aloha,865,1705
Riverdale,866,893
New Brunswick,867,2035
Saint Clair Shores,868,1175
Parsippany-Troy Hills Township,869,2497
Tinley Park,870,1735
Kailua,871,3113
Issaquah,872,2541
Castle Rock,873,2404
Easley,874,1229
Maricopa,875,1097
Yucaipa,876,1738
Marrero,877,1249
West New York,878,2153
Glendora,879,2440
Peabody,880,2273
Shoreline,881,2284
Hacienda Heights,882,2546
Gloucester,883,1641
Moore,884,1098
Waukesha,885,1476
Placentia,886,2913
Goshen,887,1117
Eagle Pass,888,1152
Euless,889,1514
Seminole,890,1462
Petersburg,891,1041
San Pablo,892,2325
Plainfield,893,1894
Troy,894,1134
Poway,895,2711
Bonita Springs,896,2568
South Jordan,897,1810
Urbana,898,1057
Niagara Falls,899,717
Yukon,900,1233
Mason,901,1859
Bartlett,902,1417
Painesville,903,1126
Columbus,904,1079
Apple Valley,905,1647
Hoboken,906,2861
Paramount,907,2086
Levittown,908,1611
Spring,909,1540
Brookline,910,2910
Owings Mills,911,1748
Stockbridge,912,1126
North Miami,913,1727
Kentwood,914,1240
Sierra Vista,915,950
Port Arthur,916,815
West Sacramento,917,1698
Stratford,918,1936
Oregon City,919,1914
Anderson,920,637
Milford,921,1829
Harrisburg,922,827
Lancaster,923,926
Oshkosh,924,740
Edina,925,2176
Zanesville,926,861
Kingman,927,830
Tigard,928,1945
Middletown,929,823
Hollister,930,2318
Martinsburg,931,1198
Middletown,932,1478
Hutchinson,933,756
Lenexa,934,1816
Redford,935,931
Revere,936,2284
East Hartford,937,1444
Homestead,938,1534
Chantilly,939,2415
Vicksburg,940,1078
South Hill,941,1671
Cathedral City,942,1652
Pine Bluff,943,756
Irondequoit,944,1302
Garner,945,1305
Binghamton,946,1002
Coeur d'Alene,947,1299
Smyrna,948,1348
Mc Lean,949,3673
Salina,950,816
Lombard,951,1811
Columbia,952,1121
North Fort Myers,953,1388
Parkersburg,954,840
Pinellas Park,955,1273
Portage,956,1394
El Centro,957,1162
Mentor,958,1336
Kaneohe,959,2685
Clayton,960,1325
Downers Grove,961,2013
Wellington,962,2471
Sebring,963,945
Highland,964,1685
Wake Forest,965,1588
Methuen,966,1970
West Orange,967,2536
Frankfort,968,942
Danville,969,4420
Murray,970,1444
Lakewood,971,1221
Old Bridge Township,972,2246
Massapequa,973,2872
Normal,974,1260
Lebanon,975,1502
Johns Creek,976,2295
Battle Creek,977,864
Oroville,978,1103
Sheboygan,979,953
East Brunswick,980,2274
Decatur,981,778
La Mirada,982,2467
Hammond,983,1282
Apex,984,1636
Buckeye,985,1213
Lakeville,986,1925
Richland,987,1514
Donna,988,917
Saint Louis Park,989,1637
Wahiawa,990,2182
Roseville,991,948
Huntersville,992,1601
Galveston,993,1492
Menifee,994,1889
Cleveland Heights,995,1144
Castro Valley,996,3028
Aliso Viejo,997,2780
Olive Branch,998,1403
Perth Amboy,999,1971
Delaware,1000,1506
Lincoln,1001,2048
Tuckahoe,1002,1620
Apache Junction,1003,1077
Grand Blanc Township,1004,1151
Twin Falls,1005,1124
Fort Washington,1006,1968
New Albany,1007,1042
Hempfield Township,1008,976
Mount Vernon,1009,1545
Palm Desert,1010,2298
Cuyahoga Falls,1011,1059
Glenview,1012,2635
Bedford,1013,1654
Longwood,1014,1602
Draper,1015,1991
Wallingford,1016,1691
Lawrence,1017,1199
Howell,1018,1531
Moline,1019,832
Hamilton Township,1020,1640
West Seneca,1021,1293
Altoona,1022,857
Sammamish,1023,3008
Spanaway,1024,1549
Town of Elmira,1025,852
Washington Township,1026,1810
Doral,1027,2193
Strongsville,1028,1580
Hilo,1029,1478
Grove City,1030,1307
Enid,1031,949
Pittsfield,1032,1430
Yorktown,1033,1740
Crossville,1034,1084
North Bethesda,1035,2157
Longview,1036,1268
Egg Harbor Township,1037,1700
Bloomfield Hills,1038,2714
Mandeville,1039,1698
Elmhurst,1040,2164
Diamond Bar,1041,2581
Martinez,1042,2651
Bloomfield,1043,1798
Coral Gables,1044,2718
Clarkston,1045,1816
Greenwood,1046,993
Fairfield,1047,1299
Asheboro,1048,897
Richmond,1049,756
Attleboro,1050,1635
Pocatello,1051,883
Charlottesville,1052,1572
Edmonds,1053,2301
Desoto,1054,1494
York,1055,794
Chesterfield,1056,1319
Del Rio,1057,1192
Hackensack,1058,2223
Campbell,1059,3554
Roseburg,1060,1045
Arlington,1061,2638
Cedar Park,1062,1694
Desert Hot Springs,1063,1355
Cerritos,1064,2674
Rogers,1065,1147
Enfield,1066,1495
Lake City,1067,1072
Burke,1068,2417
Dekalb,1069,1231
Henrietta,1070,1459
Orangeburg,1071,938
Hobbs,1072,976
Concord,1073,1448
Brunswick,1074,1375
Chesterfield,1075,2220
Port Richey,1076,924
Catonsville,1077,1792
Plymouth,1078,1970
Newark,1079,2929
Penn Hills,1080,955
Bell Gardens,1081,2261
Alpharetta,1082,2254
Thibodaux,1083,1244
Mount Juliet,1084,1724
East Lansing,1085,1519
Taunton,1086,1511
Charleston,1087,903
Everett,1088,2210
Manchester,1089,1473
Prattville,1090,1081
Palm Springs,1091,1910
Potomac,1092,3692
Granbury,1093,1503
Fallbrook,1094,2460
