City,Population Rank,January 2017
Prescott,6253,1330
Spring Hope,6254,923
Erda,6255,1508
Topeka,6256,1143
Sturtevant,6257,1141
Kempner,6258,1363
Kewaunee,6259,936
Litchfield,6260,2123
Sheridan,6261,1649
Neptune Beach,6262,2222
Piedmont,6263,1360
Lafayette,6264,1521
Pawhuska,6265,779
Savoy,6266,1327
Geneva,6267,1359
Collinsville,6268,1137
Town of Sturbridge,6269,1616
Boxboro,6270,2505
Homestead Meadows South,6271,937
Dresden,6272,837
Paxton,6273,1783
Carolina Beach,6274,1342
Monett,6275,749
Ocklawaha,6276,914
Shenandoah,6277,691
Mystic Islands,6278,1474
Montville,6279,2922
Berwick,6280,1250
Warsaw,6281,926
Williams Township,6282,1563
Ocean Isle Beach,6283,1417
Glencoe,6284,936
Newaygo,6285,944
Hudson,6286,860
Brighton,6287,1224
Colebrookdale Township,6288,1306
Pinetop,6289,1445
Jenkins Township,6290,1077
Clementon,6291,1382
Meadows Place,6292,1575
Mineral Point,6293,1111
Sky Lake,6294,1205
Truth or Consequences,6295,840
Town of Delhi,6296,1377
Weisenberg Township,6297,1915
Scott Township,6298,1159
Edwardsville,6299,801
Auburn,6300,1975
Fultondale,6301,990
Brooksville,6302,942
Osage Beach,6303,1045
McLeansboro,6304,1085
Arnold,6305,700
Town of Waterbury,6306,1767
Fruitport Township,6307,1034
Butler Township,6308,1010
Mojave,6309,903
Wolcottville,6310,1152
Terrell Hills,6311,3962
Town of Greenwich,6312,1677
Conewago Township,6313,1260
Bolton,6314,2813
Caledonia,6315,1223
Stanley,6316,1150
Franklin,6317,1549
Oakwood,6318,1157
Shalimar,6319,1395
Live Oak,6320,1241
Bolton,6321,1727
Bealeton,6322,1494
Richfield,6323,994
East Glenville,6324,1653
Inwood,6325,833
Noble,6326,929
Richlands,6327,924
Bridgeville,6328,1120
Unicoi,6329,975
Town of Shirley,6330,2206
Hartford,6331,1291
Monticello,6332,1130
Cardington,6333,1074
Munroe Falls,6334,1305
Watervliet,6335,833
Middlesex,6336,976
Belvidere,6337,1581
Roan Mountain,6338,929
Carlisle,6339,3377
Watertown Township,6340,1371
Alexandria Township,6341,2382
Circle Pines,6342,1439
Tecumseh,6343,746
Town of Little Falls,6344,1138
Olalla,6345,1811
Clear Spring,6346,1247
Houghton,6347,926
Windcrest,6348,1493
East Rockhill Township,6349,1713
Manitou Springs,6350,1498
Demarest,6351,3581
Flippin,6352,928
Santa Rosa,6353,822
Woodford,6354,1231
La Center,6355,1926
Timberlake,6356,1205
Lakeside,6357,1168
Elsberry,6358,919
East Allen Township,6359,1541
Woodbourne-Hyde Park,6360,1634
Winnebago,6361,1209
Ponce Inlet,6362,2088
Elkton,6363,1503
Lincoln,6364,3596
Prosperity,6365,1237
Pelham,6366,841
Saint George,6367,1283
Hancock,6368,873
Village of Lakewood,6369,2550
Lancaster,6370,1858
Tioga,6371,1421
Kent City,6372,1214
Vernon Township,6373,1094
Jay,6374,1026
Bay Harbor Islands,6375,1976
Mapleton,6376,1711
Umatilla,6377,1087
Elm Grove,6378,2233
Hughesville,6379,2021
Wakefield,6380,1177
Town of Southport,6381,1189
Bethel Township,6382,1119
Kutztown,6383,1291
Baxter,6384,937
Upland,6385,963
Highwood,6386,2041
Moseley,6387,1917
Clyde,6388,1205
Goldendale,6389,1223
Sagle,6390,1409
Saint Leonard,6391,1757
Center Point,6392,1233
Eight Mile,6393,900
Oak Park,6394,1110
Medina,6395,1166
Van Alstyne,6396,1367
Town of Madison,6397,948
Town of Hannibal,6398,1307
Forks,6399,1240
Deer Park,6400,1167
Chamberlayne,6401,1367
Anamosa,6402,1089
Breckenridge Hills,6403,796
Parkton,6404,2067
Beckett,6405,1756
Tolono,6406,1071
Blairstown,6407,1727
Manteo,6408,1404
Leonard,6409,1832
Pinnacle,6410,1071
Rock Hill,6411,1238
Forest City,6412,974
Blooming Grove Township,6413,1296
Sabattus,6414,1211
Afton,6415,1007
Gordonsville,6416,1257
Chester,6417,1884
Amanda,6418,1207
Roseland,6419,2718
West Milton,6420,965
Cherry Grove,6421,1417
Town of Henniker,6422,1527
North Hills,6423,5613
Linglestown,6424,1312
Sheridan,6425,1238
Basehor,6426,1469
Braidwood,6427,1437
New Albany,6428,3224
Preston,6429,1555
Larksville,6430,886
North Kensington,6431,2207
Mather Air Force Base,6432,1764
Northumberland,6433,1589
Conover,6434,1017
Mckean Township,6435,1302
Glendora,6436,1537
Vivian,6437,706
Summerfield,6438,1809
Chase City,6439,1056
Town of Epping,6440,1761
Lockport,6441,1142
Caernarvon Township,6442,1184
Reedsport,6443,902
Nottingham,6444,1852
Le Sueur,6445,1252
Silverton,6446,1156
Rincon,6447,1190
Rushville,6448,922
West Pittston,6449,947
Clarks Summit,6450,1201
Dwight,6451,1238
Brielle,6452,2769
Salado,6453,1466
Scottsburg,6454,805
Randolph,6455,1495
Black Diamond,6456,2078
Mancelona,6457,837
West Peoria,6458,827
Columbiaville,6459,1078
Ellery,6460,1372
Harris Hill,6461,1813
Warrington Township,6462,1305
Lake Worth,6463,1234
Greene Township,6464,1163
Falkville,6465,790
Delaware Township,6466,1164
Summerton,6467,1026
Gilbertsville,6468,1635
North Branch,6469,1079
Oak Hill,6470,3630
Hurlock,6471,1310
Bridgeport,6472,1493
New Garden Township,6473,2306
Turners Falls,6474,1606
Ancient Oaks,6475,1907
Eagleville,6476,1606
Springfield,6477,1082
Marion,6478,1348
Boyne City,6479,1127
Bush,6480,1358
Yale,6481,1025
Maple Lake,6482,1322
Burns,6483,1301
Spring Lake Heights,6484,2317
Westover,6485,1237
Berkeley,6486,1491
Boston,6487,1529
Geismar,6488,1924
De Kalb,6489,1056
Vandergrift,6490,700
Claremont,6491,841
Oneida,6492,1124
Castleton,6493,1485
Dexter,6494,896
West Fork,6495,1110
Royersford,6496,1451
Townville,6497,1125
Mc Farland,6498,1570
Edmonton,6499,854
Colonial Pine Hills,6500,1724
Town of Peterborough,6501,1582
Mount Ephraim,6502,1481
Haleiwa,6503,3048
Glyndon,6504,1243
Ontario,6505,830
Sansom Park,6506,1075
Barnstead,6507,1265
Foster Township,6508,993
Bell,6509,1181
Avalon,6510,1005
Corrales,6511,2020
Chesterbrook,6512,1875
Danville,6513,1090
Butner,6514,973
Pequannock,6515,2370
Lancaster,6516,1303
Elmsford,6517,2886
Hightstown,6518,1905
Inwood,6519,1222
Salem,6520,836
Glassport,6521,755
Town of Norfolk,6522,1159
Evart,6523,842
Town of Brillion,6524,1014
Foster,6525,1775
Town of Waldoboro,6526,1196
Leonard,6527,1261
Annville,6528,1059
South Weber,6529,1526
South Williamsport,6530,954
Town of North Brookfield,6531,1515
Canutillo,6532,971
Milliken,6533,1544
Jim Thorpe,6534,1070
Suncook,6535,1429
Straban Township,6536,1300
Westvale,6537,1515
Brookhaven,6538,1338
Crestline,6539,800
Scio,6540,1370
Buena,6541,1320
O Brien,6542,1187
Deep River,6543,1619
Dundee,6544,1246
Holly Hill,6545,927
Washington Township,6546,2526
Miami,6547,1000
Huber Ridge,6548,1217
Greenville,6549,1824
Brecknock Township,6550,1628
Bahama,6551,1604
Alpine Township,6552,1328
Meridianville,6553,1143
Clinton,6554,1078
Calvert City,6555,963
Zephyrhills West,6556,1015
Doffing,6557,898
Gibraltar,6558,1102
Montoursville,6559,1051
Fulton,6560,1127
Fort Wright,6561,1412
Warren,6562,1178
Pamplico,6563,900
Duryea,6564,927
Braselton,6565,1614
Mauston,6566,895
Eastwood,6567,855
Decatur,6568,975
Ely,6569,1044
Newton,6570,1892
South Bound Brook,6571,1975
Whiteland,6572,1132
Bloomfield,6573,1284
Gervais,6574,1408
Surfside Beach,6575,1340
Poynette,6576,1233
Avon,6577,2267
Saint Charles,6578,842
Veneta,6579,1289
Town of Enfield,6580,1421
Rustburg,6581,1060
Nyssa,6582,1091
Applewood,6583,2252
South Bay,6584,1547
Ronan,6585,1035
Lonsdale,6586,1434
Flemington,6587,2085
East Jordan,6588,1026
Newburg,6589,844
Rossford,6590,1020
Delaware Township,6591,2343
Charlotte,6592,969
Federalsburg,6593,1326
Barrington,6594,2487
New Hope,6595,846
Winterville,6596,1097
Georgia,6597,1597
Conifer,6598,2203
Sunman,6599,1095
Killingworth,6600,1863
Terrebonne,6601,1442
Summit,6602,990
Green Tree,6603,1364
Findlay Township,6604,1319
Delmar,6605,1152
Town of Topsfield,6606,2655
Spicewood,6607,2210
Brentwood,6608,2093
Eureka,6609,1231
Hubbardston,6610,1634
Rochelle Park,6611,2291
Forked River,6612,1710
Robbins,6613,1242
Peters,6614,1127
Fairview,6615,1731
Mount Zion,6616,1141
Bithlo,6617,1697
Stone Park,6618,1409
Avilla,6619,1098
Fort Mitchell,6620,1218
Wolf Point,6621,944
Wilmore,6622,924
Heyworth,6623,1227
Le Ray,6624,1446
East Wenatchee Bench,6625,1634
Seat Pleasant,6626,1647
Jan-Phyl Village,6627,978
Jefferson,6628,1810
East Dubuque,6629,1204
Tarentum,6630,809
Mount Pleasant,6631,869
West Newbury,6632,2552
Sandown,6633,1800
Hurdle Mills,6634,1229
California,6635,1591
Barton,6636,1414
Zephyrhills South,6637,892
Charles City,6638,1156
Freedom,6639,1132
Towamensing Township,6640,1322
Cisco,6641,994
Cotulla,6642,1174
Creston,6643,1141
Montross,6644,1143
Rio Hondo,6645,914
Newcastle,6646,2273
O'' Neill,6647,965
Taylor Mill,6648,1236
Eagle River,6649,1124
Meridian Township,6650,1661
Louisville,6651,903
Troy,6652,1072
Scotland Neck,6653,755
Battle Mountain,6654,1100
Hewitt,6655,1740
Needles,6656,867
Springetts Manor-Yorklyn,6657,1172
Unionville,6658,1372
Etowah,6659,888
Saint Croix Falls,6660,1134
Dover,6661,899
Beatyestown,6662,1775
Harrington Park,6663,3126
Brunswick,6664,1400
Epsom,6665,1546
Prairie Grove,6666,2378
Monfort Heights South,6667,1216
Lincoln,6668,1059
Ottawa Hills,6669,2127
Wahneta,6670,832
Story City,6671,1192
Raymond,6672,1701
Ardsley,6673,3905
Salem,6674,1489
Harrisburg,6675,1233
Campobello,6676,1280
Woodbine,6677,1191
Morongo Valley,6678,996
Holton,6679,897
Town of Camden,6680,1553
Eastland,6681,1069
Parker,6682,3418
Canaan,6683,1442
New London,6684,1740
Vail,6685,3876
Powder Springs,6686,1245
West Liberty,6687,1155
Sophia,6688,976
Littlestown,6689,1211
Ely,6690,980
Mount Carmel,6691,1099
Stafford Springs,6692,1497
West Hazleton,6693,766
Hawthorne,6694,3049
Manton,6695,870
Stanardsville,6696,1235
Weyauwega,6697,1099
Hartly,6698,1217
Delanco,6699,1659
Hartford City,6700,679
Northbridge,6701,1761
Wisconsin Dells,6702,1095
Brisbane,6703,3505
Blissfield,6704,941
Campton Hills,6705,2641
Pacific,6706,1746
Gulf Hills,6707,1141
Isle of Palms,6708,3119
Quitman,6709,1255
Lexington,6710,1237
Elk Mound,6711,1150
Honesdale,6712,1157
Trenton,6713,1397
Town of Seymour,6714,1119
Washington Township,6715,1298
Port Isabel,6716,1094
Oceanport,6717,2446
Sandy Township,6718,1039
Dellwood,6719,842
Hensley,6720,1060
Jefferson,6721,1439
Town of Amenia,6722,1793
Mount Gilead,6723,1040
Town of Unadilla,6724,1223
Saint Bernard,6725,969
Cave Creek,6726,2856
Mount Airy,6727,1059
Clarkton,6728,803
Allen Township,6729,1581
Flourtown,6730,2213
Portola,6731,1237
Fremont,6732,1803
Herricks,6733,3264
Wharton Township,6734,1162
Snow Hill,6735,1159
Town of Stowe,6736,2096
Bronson,6737,1069
Marlette,6738,853
Union City,6739,699
Dyersville,6740,1128
Pardeeville,6741,1148
Chester Township,6742,3301
Lisbon,6743,1502
New Prague,6744,1433
Sedalia,6745,2655
West Portsmouth,6746,800
Jenkintown,6747,1673
Mullica Township,6748,1405
Magnolia,6749,1540
Town of Wolcott,6750,1245
Fairfax,6751,1500
Breaux Bridge,6752,1144
Whitestown,6753,1440
Hometown,6754,1294
Sanibel,6755,3975
Morgantown,6756,1113
Holbrook,6757,873
East Windsor,6758,1495
Marvin,6759,3769
Interlochen,6760,1190
Castalian Springs,6761,1283
Kalkaska,6762,832
Bloomingdale,6763,1869
Lake Isabella,6764,1065
West Union,6765,807
Pittsboro,6766,1341
Oswegatchie,6767,1309
Hunters Creek Village,6768,9937
Ossipee,6769,1137
Vincent,6770,1160
Montgomery,6771,1383
Fountain Hill,6772,1241
Clinton,6773,1965
West York,6774,936
Acton,6775,2526
Troy,6776,1450
Bel Aire,6777,1263
Daleville,6778,845
Northvale,6779,2672
Wellton,6780,850
Avondale,6781,2117
Yorkville,6782,1548
Laingsburg,6783,1178
Harmony,6784,936
Washington Township,6785,1424
Town of Winchester,6786,1261
Kimberly,6787,1130
Williamstown,6788,1106
Glenn Dale,6789,2397
Penn Township,6790,1249
Lee,6791,1944
Palmview South,6792,895
Algoma,6793,856
Cedaredge,6794,1261
Waterloo,6795,989
Eudora,6796,1247
Rutland Township,6797,1210
Mount Vista,6798,1729
Pittstown,6799,1359
Evington,6800,1081
Springville,6801,1198
New London,6802,1257
Lewisville,6803,1273
Hallsville,6804,1185
Upper Paxton,6805,1144
Coopersville,6806,1197
Milan,6807,795
Minersville,6808,731
Lakes,6809,1717
China Village,6810,1113
Pixley,6811,937
Christmas,6812,1408
Elko New Market,6813,1827
Sherborn,6814,3395
Northwood,6815,1726
Northwoods,6816,795
Richland,6817,801
North Kansas City,6818,950
Millersburg,6819,1205
Ashford,6820,1431
Mabton,6821,957
Perry,6822,1338
Quincy,6823,984
Catawba,6824,911
Greensboro,6825,1389
Carroll,6826,1554
East Garden City,6827,3603
Piney,6828,890
Town of Duane,6829,1326
Mount Vernon,6830,1349
Augusta,6831,1039
Stratford,6832,1083
Scottdale,6833,827
Burnham,6834,1295
Chazy,6835,1609
Elkton,6836,842
Lynn Township,6837,1522
Manteno,6838,1277
Lake Hallie,6839,1156
Seneca,6840,792
Monrovia,6841,1940
Wayne,6842,2993
Homestead Meadows North,6843,1042
Healdton,6844,727
Genoa,6845,1087
Kingman,6846,750
Woodward Township,6847,941
Derby,6848,1352
Elk Township,6849,1785
Upton,6850,2552
Silverado,6851,2991
Cambria,6852,2475
Bunker Hill,6853,1163
West Monroe,6854,1403
Town of Stonington,6855,1931
Canton Township,6856,1044
Woodson Terrace,6857,827
Tappahannock,6858,1234
Brutus,6859,1460
Garwood,6860,1884
Beaver,6861,1101
Chardon,6862,1536
Lolo,6863,1337
Egg Harbor City,6864,1362
Cypress Gardens,6865,1204
Thatcher,6866,1118
Gaines,6867,1327
Saint Augustine Beach,6868,1810
Franklin,6869,2028
Anacoco,6870,1203
Murray,6871,1332
Davenport,6872,1145
Decatur,6873,963
Honokaa,6874,1512
Yellow Springs,6875,1404
China Spring,6876,1577
Burton,6877,1253
Cockrell Hill,6878,1172
Middletown,6879,1508
Dundee,6880,1014
West Brunswick,6881,1149
Sussex,6882,1995
Gunnison,6883,1322
Capac,6884,1123
Mount Olympus,6885,2434
Minnetrista,6886,2374
Headland,6887,1052
Cold Spring,6888,1380
Hamburg,6889,1162
Cle Elum,6890,1441
Vale,6891,823
Rochester,6892,2084
Glasgow Village,6893,789
Schuyler Falls,6894,1622
Woodstock,6895,2512
East Granby,6896,1841
Montgomery,6897,1274
Boothwyn,6898,1437
Salem Township,6899,1266
Carlisle,6900,872
Winchester,6901,1414
Golden Lakes,6902,1234
Avon,6903,1352
Girard,6904,740
Concord,6905,1242
Columbus,6906,1261
Round Hill,6907,2264
Snowflake,6908,1028
Castroville,6909,1452
Nocona,6910,1143
Menands,6911,1599
Sanderson,6912,1063
Greendale,6913,1062
Castle Hills,6914,1930
Barling,6915,863
South Pasadena,6916,1346
Carver,6917,1878
Green Park,6918,1157
Narberth,6919,2229
Pelion,6920,856
Bensley,6921,1049
Mountain Lakes,6922,4025
High Ridge,6923,1136
Dundee,6924,1682
Helendale,6925,1143
Glenarden,6926,1841
Blowing Rock,6927,1413
Crozet,6928,1748
East Dundee,6929,1569
Slatington,6930,1138
Cortlandville,6931,1424
Dixon,6932,828
Key Largo,6933,2999
Dry Ridge,6934,1037
Wheatland,6935,1436
Trent Woods,6936,1213
Middle Paxton,6937,1299
Archdale,6938,979
Westville,6939,1415
Plain City,6940,1410
Pearisburg,6941,1018
Aldan,6942,1344
Harding Township,6943,5381
Richfield,6944,1873
Salem,6945,1676
Crystal Lake,6946,878
Tecumseh,6947,1020
Sea Cliff,6948,3323
Samsula-Spruce Creek,6949,2044
Stanley,6950,950
Sugar Creek,6951,795
Waynesburg,6952,966
Linden,6953,1187
Rutherford,6954,1173
Bellevue,6955,971
Hainesport,6956,2067
Pleasant View,6957,1294
Town of Deerfield,6958,1435
Little Britain Township,6959,1135
Sugarloaf Township,6960,1316
Andover,6961,903
Medford Lakes,6962,2142
Liberty,6963,920
Randall,6964,1657
Sinking Spring,6965,1301
New Brighton,6966,741
Twin Lakes,6967,1443
Clarendon,6968,1362
Placitas,6969,1954
Charlton,6970,1710
Danville,6971,1860
Cumberland Township,6972,1119
Grand Ridge,6973,888
Ashburnham,6974,1537
Great Mills,6975,1447
Waverly,6976,1338
Pembroke,6977,1484
Westwood,6978,844
Thompsons Station,6979,1886
North Hampton,6980,2349
Pamelia,6981,1282
Carson City,6982,842
Brodnax,6983,1090
Redstone,6984,849
Apache,6985,747
White City,6986,1390
Montpelier,6987,1469
Derry Township,6988,1021
Danville,6989,879
Liberty Center,6990,1098
Waveland,6991,950
Blue Earth,6992,1097
Bethel,6993,1227
Ragley,6994,1208
Lathrup Village,6995,1596
East Amwell Township,6996,2367
Marion,6997,837
San Joaquin,6998,1098
Royal,6999,1105
Broadway,7000,1042
Butler,7001,850
Atlantic Highlands,7002,2365
Town of Wilton,7003,1054
Monmouth,7004,1184
Selbyville,7005,1445
Northfield,7006,2997
Casco,7007,1232
North Hanover,7008,2183
Newberry,7009,1385
Lisbon,7010,1205
Phoenix,7011,1380
Summerside,7012,1104
Windber,7013,854
Olivet,7014,1019
Plainfield Township,7015,1451
Felton,7016,2619
Horicon,7017,1070
Long Hill,7018,1338
Town of Pittsfield,7019,1398
Paxtonia,7020,1291
Scottsville,7021,1222
Town of Wayland,7022,1285
Hanover,7023,872
Hurstbourne,7024,2314
Chester,7025,1716
Tinicum Township,7026,1257
Schulenburg,7027,1287
Wolverine Lake,7028,1386
Knightstown,7029,849
New Cumberland,7030,852
Town of Pittsfield,7031,952
Richboro,7032,2484
Richmond,7033,1581
Marysville,7034,828
Groveton,7035,1104
Electra,7036,631
Bedford,7037,1034
Rural Retreat,7038,1046
Ellettsville,7039,1059
Beloit,7040,907
Hidden Valley,7041,1325
Columbus,7042,1234
Oaklyn,7043,1495
Geneva,7044,1673
Pilesgrove,7045,1613
Hominy,7046,769
Granby,7047,1530
Simpsonville,7048,1408
Soap Lake,7049,831
Los Fresnos,7050,911
Ho Ho Kus,7051,3429
Portola Valley,7052,10626
Churchville,7053,2467
Town of Whitehall,7054,1464
Mahanoy City,7055,684
Hubbard,7056,1621
Town of Chilton,7057,1035
Fairbury,7058,1185
Mills River,7059,1392
New Baden,7060,1199
Eyota,7061,1434
Moultonborough,7062,1312
Belle Center,7063,1108
Halifax Township,7064,1150
Welsh,7065,1137
Zumbrota,7066,1350
Perkinston,7067,1105
Franklin Township,7068,1031
Montezuma,7069,897
West Liberty,7070,1160
Dayton,7071,1053
Hornellsville,7072,1321
Waskom,7073,977
Fulshear,7074,2783
Gobles,7075,1065
Rutland,7076,1588
Evansdale,7077,887
Halifax,7078,1000
Boyertown,7079,1242
Town of Hurley,7080,1604
Star,7081,1350
Tega Cay,7082,1944
Faison,7083,828
Ocean View,7084,1435
Dyer,7085,795
Hooks,7086,1047
Tinicum Township,7087,1998
Town of Walworth,7088,1291
Onamia,7089,1303
Spencer,7090,815
Young Harris,7091,1228
Crisfield,7092,1226
Bono,7093,927
Madeira Beach,7094,2048
Salunga-Landisville,7095,1291
Lochbuie,7096,1406
Manchester,7097,828
Lake Alfred,7098,1048
Avoca,7099,1205
Irwin,7100,911
Toano,7101,1694
Lyncourt,7102,1065
Lake Helen,7103,1155
Stillwater,7104,1736
Boscawen,7105,1427
Chalfont,7106,1958
Manvel,7107,1934
Smiths Grove,7108,1023
Nowata,7109,744
Yorktown,7110,1199
Krum,7111,1542
Homer,7112,839
Palos Park,7113,2225
Baden,7114,854
Jonesboro,7115,831
North Westport,7116,1508
Medway,7117,761
Willistown Township,7118,2970
Waleska,7119,1307
Springport,7120,872
Sisters,7121,1787
Posen,7122,1323
Bunker Hill,7123,1206
Mayflower,7124,878
Oak View,7125,2464
Little Cottonwood Creek Valley,7126,2432
Grant,7127,2344
Smithville,7128,1297
Coal City,7129,1228
Tipton,7130,889
Fountainhead-Orchard Hills,7131,1371
Hanover,7132,1427
Wanaque,7133,1830
Rainier,7134,1440
Bethlehem Township,7135,2340
Parachute,7136,1145
Pembroke,7137,1108
Hudson,7138,1615
Union Grove,7139,963
Friendsville,7140,1106
Elmwood,7141,1367
Columbus,7142,1620
Porter,7143,1480
South Whitley,7144,940
Hope,7145,972
Florence Township,7146,2117
Linden,7147,1134
Del Monte Forest,7148,5596
Clendenin,7149,846
New Waverly,7150,1237
Forty Fort,7151,1062
Lovell,7152,914
Point Pleasant Beach,7153,2053
Franklin Township,7154,1214
Grifton,7155,802
Town of Newark Valley,7156,1331
Town of Brandon,7157,1471
Town of Middleburgh,7158,1388
Chesaning,7159,839
Cold Spring,7160,1299
Candia,7161,1807
Frontenac,7162,4305
Albion,7163,993
Spencer,7164,941
Fair Haven,7165,1215
Wilsonville,7166,1287
Greene Township,7167,1233
Nassau Bay,7168,1827
Groesbeck,7169,1186
Dewey,7170,810
Mc Donald,7171,837
Vernon,7172,1856
Town of Oxford,7173,1207
Pigeon Forge,7174,1100
West Columbia,7175,1501
Lake Bluff,7176,3333
Naples,7177,1605
Trinidad,7178,1161
Centerville,7179,895
Lambertville,7180,2308
Codorus Township,7181,1360
Moreland,7182,1340
Dagsboro,7183,1421
Bethel,7184,1284
Gold Beach,7185,1368
San Manuel,7186,780
Canaan,7187,1404
Archer,7188,1248
Stevenson,7189,849
Town of New Holstein,7190,1021
Spencerville,7191,919
Waynesville,7192,1600
Lansford,7193,820
Ludlow,7194,948
Dayton,7195,1686
Caseyville,7196,806
Town of Bristol,7197,1490
Riverdale,7198,2186
Millstadt,7199,1235
Hartland,7200,968
Mount Angel,7201,1547
Raymond,7202,1413
Cascade Township,7203,1732
Anahuac,7204,1359
Andrews,7205,1008
Glen Dale,7206,1036
Milan,7207,1374
Old Bethpage,7208,3248
Lakeview,7209,888
Newcastle,7210,1027
Howard Lake,7211,1279
Arabi,7212,1231
Greenwich Township,7213,1325
Ray,7214,1292
South Chicago Heights,7215,1281
Hickory Withe,7216,1630
New London,7217,937
Byron,7218,1132
Hancock,7219,931
Higganum,7220,1776
Lake Arrowhead,7221,1549
Gurley,7222,1009
Greencastle,7223,1187
Baltimore,7224,1428
Elberfeld,7225,1058
Sedgwick,7226,1066
Kingwood Township,7227,2295
Belleair,7228,1935
Fishersville,7229,1419
Blackwood,7230,1536
Shrewsbury,7231,2738
East Drumore Township,7232,1134
Pound Ridge,7233,4910
Polo,7234,1109
Sissonville,7235,840
Ore City,7236,1178
Seabeck,7237,1791
Munford,7238,1121
Alsace Township,7239,1258
Crane,7240,1056
Newton,7241,1008
Marathon,7242,1117
Shandon,7243,1775
Pelican Rapids,7244,1278
Wayne Township,7245,1135
Grottoes,7246,1051
Albany,7247,1307
Morriston,7248,1366
Sugar Hill,7249,1432
Oliver Springs,7250,856
Lake Odessa,7251,1070
Stanford,7252,1836
Mount Arlington,7253,2261
La Conner,7254,1544
Garrett,7255,833
Coxs Creek,7256,1110
North Braddock,7257,779
Platteville,7258,1454
Roosevelt Park,7259,945
Woodlyn,7260,1393
June Park,7261,1425
East Canton,7262,844
Centerville,7263,1554
East Bernard,7264,1458
Menallen Township,7265,1015
Floyd,7266,1337
Petersburg,7267,1216
Lower Milford Township,7268,1714
Vanceboro,7269,824
Bridge City,7270,1225
Custer,7271,1566
Saint Paul,7272,1807
Colfax,7273,1118
Grand Saline,7274,1152
Hollywood,7275,1650
Enola,7276,1071
Washington Park,7277,693
Grosse Pointe Shores,7278,3621
Milton,7279,1599
Genoa,7280,1328
Blooming Prairie,7281,1202
Tobaccoville,7282,1032
Old Westbury,7283,9292
Woodburn,7284,1074
Conestoga Township,7285,1166
Williamson,7286,1144
Progreso,7287,908
Holden Heights,7288,1401
Greenbrier,7289,1205
Tyrone,7290,1921
Bay Hill,7291,2871
Avon,7292,2818
Maggie Valley,7293,1260
Lykens Township,7294,1019
Montague,7295,1634
Town of Chatham,7296,1529
Howard,7297,1149
Myakka City,7298,1919
Moose Lake,7299,1269
Northumberland,7300,1016
Dallastown,7301,1087
Clear Lake,7302,1476
Emory,7303,1281
Roberts,7304,1520
Swainsboro,7305,802
Fayette,7306,1511
Huntington Woods,7307,2278
Forestdale,7308,1893
Lake Panasoffkee,7309,1060
Town of Argyle,7310,1688
Mount Pleasant,7311,977
Culleoka,7312,1125
Versailles,7313,1185
Spicer,7314,1323
South Russell,7315,2224
Abram-Perezville,7316,950
Hanover Township,7317,1198
Spring Valley,7318,1037
Deerfield,7319,1827
Hokes Bluff,7320,937
Millvale,7321,886
Chisago City,7322,1538
Bellaire,7323,1106
Waverly,7324,1306
Hampton Township,7325,1756
Seminole Manor,7326,1447
Broadmoor Village,7327,3516
Bondurant,7328,1586
Crystal City,7329,933
Strasburg,7330,1130
Saginaw,7331,1323
Mason,7332,1377
Colerain Township,7333,1255
Casco,7334,1600
Johnston City,7335,784
Town of Rowley,7336,2427
Cumberland,7337,1238
Berryton,7338,1430
New Freedom,7339,1514
Natalia,7340,1377
Jersey Shore,7341,861
Windsor Heights,7342,1359
Mooringsport,7343,772
Shelby,7344,1067
Town of West Brookfield,7345,1566
Deridder,7346,1018
Indian River Shores,7347,5330
Bunker Hill Village,7348,8983
Ridgely,7349,1452
Alva,7350,1510
Springdale,7351,1920
Fowler,7352,854
Colfax,7353,1002
Utica,7354,977
Hounsfield,7355,1408
Saint Henry,7356,1332
Nichols Hills,7357,3599
Carter Lake,7358,990
Port Vue,7359,776
Haring,7360,899
Duson,7361,1232
Union,7362,1644
Jamestown,7363,2531
Gibsonia,7364,1212
Carmel Valley,7365,3325
Point Township,7366,1139
Dupont,7367,1692
Preston,7368,1425
South Toms River,7369,1529
Lewisburg,7370,862
Jackson,7371,1593
Cuba City,7372,1054
Pagedale,7373,775
Salem,7374,1428
Merrill,7375,837
Cross,7376,1090
Sunderland,7377,2133
Connell,7378,1177
Camanche,7379,1136
Yorktown,7380,875
Walpole,7381,1399
Cranbury Township,7382,3559
Manhasset Hills,7383,4066
Town of Canajoharie,7384,1260
Independence Township,7385,1722
Granby,7386,714
Grant,7387,895
Bon Aqua,7388,1102
Town of Wiscasset,7389,1260
Pine Island,7390,1418
Ashville,7391,1145
Seaside,7392,1485
Ivins,7393,1393
Ridgeley,7394,983
North Liberty,7395,850
Douglass Hills,7396,1695
Bailey,7397,1770
Lodi,7398,1096
Meadow Vista,7399,2034
Battlefield,7400,916
West Reading,7401,1101
Prairie View,7402,1249
Erwin,7403,750
Cadott,7404,1118
Coopertown,7405,1321
Three Points,7406,1023
Lakeview,7407,1094
Hamilton,7408,2281
Clinton Township,7409,1094
Palermo,7410,1273
Garner,7411,963
East China,7412,1214
Oley,7413,1327
Lake Erie Beach,7414,1069
Pennsburg,7415,1449
Town of Darien,7416,1239
Saint Bernard,7417,1106
Hale Center,7418,853
Saint Paris,7419,1023
Sherman,7420,2505
West Bountiful,7421,1502
Town of Winterport,7422,1178
Leslie,7423,1147
Roosevelt,7424,873
Conoy,7425,1176
